Wall time,Step,Value
1620374652,119232,0.880691171
1620374741,119744,0.880798817
1620374774,119936,0.880849421
1620374796,120064,0.880823731
1620374846,120352,0.880939364
1620374857,120416,0.880948126
1620374907,120704,0.881015718
1620374929,120832,0.881007671
1620374962,121024,0.881071329
1620374990,121184,0.881101489
1620375023,121376,0.881155968
1620375072,121664,0.88119638
1620375111,121888,0.881195486
1620375133,122016,0.881151736
1620375183,122304,0.881202579
1620375266,122784,0.881338477
1620375305,123008,0.881329954
1620375322,123104,0.881332934
1620375333,123168,0.881367266
1620375339,123200,0.881387174
1620375361,123328,0.881450951
1620375366,123360,0.881432891
1620375439,123776,0.881556511
1620375472,123968,0.881530583
1620375478,124000,0.881498575
1620375489,124064,0.881507039
1620375522,124256,0.881451726
1620375539,124352,0.881427169
1620376375,125216,0.881129265
1620376409,125408,0.881755769
1620376431,125536,0.881703198
1620376447,125632,0.881514013
1620376492,125888,0.881761134
1620376503,125952,0.882163763
1620376597,126496,0.882040441
1620376603,126528,0.882021427
1620376708,127136,0.883990526
1620376713,127168,0.883797646
1620376730,127264,0.883889198
1620376768,127488,0.884168088
1620376780,127552,0.883962691
1620376824,127808,0.884140491
1620376835,127872,0.884039879
1620376840,127904,0.884083986
1620376912,128320,0.8842749
1620376924,128384,0.884388804
1620376979,128704,0.884282649
1620376996,128800,0.884264171
1620377057,129152,0.884295642
1620377074,129248,0.884451389
1620377085,129312,0.884560466
1620377096,129376,0.884511411
1620377163,129760,0.884649932
1620377258,130304,0.884568632
1620377341,130784,0.884769082
1620377375,130976,0.884671807
1620377414,131200,0.884571671
1620377458,131456,0.884664774
1620377481,131584,0.884790897
1620377520,131808,0.884910524
1620377525,131840,0.884944141
1620377531,131872,0.884939134
1620377586,132192,0.884878755
1620377703,132864,0.884963512
1620377730,133024,0.88484925
1620377758,133184,0.884887457
1620377791,133376,0.884944975
1620377847,133696,0.884798706
1620377875,133856,0.88491559
1620377908,134048,0.884853363
1620377930,134176,0.884907365
1620377936,134208,0.884871304
1620377980,134464,0.884789824
1620377997,134560,0.884830177
1620378003,134592,0.884851754
1620378014,134656,0.884851158
1620378031,134752,0.88488096
1620378036,134784,0.884877563
1620378042,134816,0.884904623
1620378081,135040,0.884874821
1620378098,135136,0.884829581
1620378103,135168,0.884811759
1620378109,135200,0.884835064
1620378114,135232,0.884858251
1620378125,135296,0.8847996
1620378142,135392,0.884787798
1620378148,135424,0.88482219
1620378181,135616,0.884764731
1620378215,135808,0.88481468
1620378226,135872,0.884789586
1620378242,135968,0.884655356
1620378353,136608,0.884925425
1620378365,136672,0.884919405
1620378398,136864,0.885003269
1620378437,137088,0.885013938
1620378503,137472,0.884876072
1620378576,137888,0.884931147
1620378609,138080,0.884871066
1620378620,138144,0.884900451
1620378708,138656,0.884888947
1620378725,138752,0.88489908
1620378736,138816,0.884918213
1620378742,138848,0.884920061
1620378846,139456,0.885037363
1620378896,139744,0.885100067
1620378979,140224,0.885163546
1620378996,140320,0.885157168
1620379068,140736,0.885332406
1620379112,140992,0.88530457
1620379157,141248,0.885380507
1620379162,141280,0.885431588
1620379179,141376,0.88544637
1620379190,141440,0.88546598
1620379195,141472,0.885460973
1620379273,141920,0.885448456
1620379317,142176,0.885504127
1620380088,142656,0.889408112
1620380127,142880,0.888245404
1620380160,143072,0.888144493
1620380177,143168,0.889368236
1620380216,143392,0.887269378
1620380288,143808,0.887410879
1620380299,143872,0.887646377
1620380304,143904,0.888005912
1620380343,144128,0.888420224
1620380443,144704,0.888521016
1620380532,145216,0.888970852
1620380570,145440,0.888707757
